#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
# longitud latitud  Dist  Edad   
# (deg)    (deg)    (pc)  (log t [yr])
#
l;b;d;Age
38.25572;1.77807;1413;7.1
42.95866;4.10474;4457;8.975
52.77107;8.73715;546;8.95
43.03548;3.91414;4389;8.975
9.06178;-12.98277;2800;9.5
42.84167;3.57713;1105;8.95
25.74858;-5.6859;1000;8.93
33.5557;-2.2588;1466;8.7
60.36697;10.92246;1111;9.15
44.39799;3.10199;700;9.16
64.377;12.66293;350;8.01
33.69234;-2.48379;3000;9.0
17.43382;-10.67034;2120;8.7
34.3304;-2.78441;2687;8.0
3.59201;-16.98425;1089;9.1
43.21072;0.96716;3900;
40.36078;-0.6998;828;8.95
38.6474;-1.63845;1340;7.0
38.59773;-1.68754;1421;7.719
39.08842;-1.68145;1507;7.79
36.30924;-3.211;2847;9.1
48.35654;2.45523;6288;9.1
46.85349;1.6241;860;7.493
45.9484;1.05172;3026;8.75
45.9484;1.05172;3308;8.76
67.99389;11.58747;350;8.52
355.01523;-21.89383;1400;9.11
39.97585;-3.00341;2160;8.0
45.65204;-0.18153;1030;8.5
21.01228;-12.81635;295;9.4
35.00716;-6.06306;1185;8.95
345.87111;-24.71925;3276;9.5
53.21201;3.35426;1800;9.11
338.95178;-26.17254;1787;9.1
50.04027;1.14558;2350;8.6
0.49808;-21.32058;1995;9.2
69.95849;10.9038;5035;9.92
50.19687;0.76546;3900;
48.54683;-0.1819;2110;6.95
47.7275;-1.00075;2623;9.1
56.1669;3.31699;1100;8.64
51.67653;0.57719;2478;7.0
63.26854;6.64272;1500;8.79
49.16662;-0.97885;1380;8.6
47.16954;-2.09458;708;8.6
44.06539;-3.85405;2883;9.025
49.3934;-1.32056;1305;8.48
59.23682;3.94481;1000;8.59
15.11903;-18.02198;1640;9.0
52.5611;-0.05798;1070;8.7
50.4121;-1.34182;2600;8.64
57.85729;2.64466;2980;8.9
51.12174;-1.1657;2814;8.415
53.77011;0.16379;1600;7.5
55.32561;0.91655;1778;8.98
51.10358;-1.42729;1303;6.7
54.17919;-0.61219;2700;8.35
55.78422;-0.18823;2669;6.4
60.24696;2.2572;318;8.48
69.45794;7.26079;700;8.37
79.2105;12.01475;1215;8.799
54.73502;-1.24279;2480;8.78
54.90154;-1.5567;800;7.71
61.0312;1.73439;8329;9.05
61.64357;1.90808;11900;
73.98387;8.49134;2403;9.36
62.78987;2.15174;500;8.0
72.71966;7.55653;2642;9.25
40.20793;-10.64092;500;8.42
57.47622;-1.10026;3090;8.9
65.0566;3.18766;2100;9.3
59.40186;-0.144;3176;6.5
62.71;1.34546;2289;8.69
64.76098;2.5051;852;8.2
54.59972;-3.40013;670;8.47
63.84399;1.88428;7900;
63.57641;1.70862;2160;9.7
60.1935;-0.2827;2000;6.89
60.94148;-0.10785;1392;7.335
60.75375;-0.5641;7070;8.48
59.99984;-1.07551;4394;7.0
62.31637;0.27562;2769;8.505
92.00483;16.34891;1750;9.48
63.4533;0.82933;1675;7.46
58.86532;-1.89067;700;8.41
58.26314;-2.33734;4550;8.98
58.27934;-2.45393;2540;9.3
46.831;-9.27461;600;8.56
60.1354;-1.79989;1639;7.572
62.00544;-0.70097;1360;8.7
68.0099;2.8506;9330;9.29
69.18242;3.36348;4569;9.0
50.33559;-7.82153;2220;9.35
65.69816;1.1889;2067;7.883
56.27924;-4.65404;1604;8.05
50.5189;-8.00894;943;9.0
74.45495;5.98579;1100;8.64
70.33902;3.51124;450;8.31
56.11437;-5.15175;1410;9.15
51.16156;-8.25311;1970;9.11
51.29297;-8.40367;1945;9.11
68.69053;1.91949;4450;8.7
66.88213;0.78332;1894;8.7
68.11881;1.43554;2860;8.75
64.10325;-1.29516;2628;6.91
67.62847;0.85638;705;8.11
69.05264;1.7036;2700;8.4
58.81053;-4.68183;1467;8.036
89.68293;13.52732;1704;9.26
70.97903;2.57529;2090;8.9
83.64496;10.12899;1845;9.35
63.22418;-2.41973;3412;8.55
67.65245;0.2485;710;8.3
66.05679;-0.92204;5728;8.95
70.30537;1.72126;2793;7.85
63.21063;-2.75145;1721;8.95
68.52954;0.44529;6140;7.85
70.64553;1.7412;3354;8.2
71.86021;2.42575;1600;7.0
72.17645;2.60682;1700;7.0
77.65939;5.98202;900;8.83
51.35987;-10.3044;1310;9.4
70.45048;1.39448;800;8.75
73.94127;3.57583;1400;7.585
69.10739;0.51857;1715;8.4
79.56037;6.8393;1189;8.91
70.92568;1.27192;2750;8.65
31.65356;-20.98865;513;8.35
65.16135;-2.40506;1993;8.2
66.98395;-1.27031;2000;6.6
11.24444;-28.18928;2402;8.975
70.72877;0.96251;3924;6.1
77.20808;4.99942;1200;8.95
76.65178;4.6286;1670;9.0
72.64476;2.05404;1574;6.958
72.53554;1.8521;550;8.6
74.90596;3.29779;1548;7.977
71.1006;0.85422;2645;7.2
72.73179;1.74439;1600;7.25
60.45079;-6.15434;1250;8.94
65.92923;-2.68928;4023;8.9
72.75086;1.34551;1106;7.011
73.65704;1.82787;1445;7.6
70.65812;-0.15155;2588;6.5
77.77396;4.42299;4296;8.785
71.40032;0.27291;389;7.832
77.68835;4.27857;6026;9.2
72.45101;0.85856;2653;8.35
74.62143;2.07784;1600;7.05
73.27749;1.17522;1380;
73.11938;1.00289;1100;8.91
65.78087;-3.8485;432;8.2
72.14709;0.29115;1300;9.05
65.73734;-3.92124;2567;7.35
65.52951;-4.07422;597;9.16
75.10978;2.13737;1055;8.7
67.88129;-2.83068;3700;9.18
74.31687;1.2647;1695;8.6
67.89864;-3.1773;4900;9.3
78.14255;3.51851;884;6.5
72.11078;-0.51044;1442;8.95
74.60086;1.045;1032;8.29
75.37338;1.31584;2398;6.87
87.45759;9.27753;550;8.15
72.07051;-0.99216;2331;9.345
76.90831;2.07198;1589;7.4
75.82675;1.32022;1457;6.7
75.76033;1.23948;2702;8.4
74.79165;0.57818;1760;9.0
78.09853;2.78056;740;6.85
79.68619;3.82601;1546;8.15
70.24206;-2.61067;840;9.84
75.72574;0.98116;1760;9.0
78.42571;2.64823;2466;6.55
76.12184;1.06486;972;7.542
78.39471;2.53163;1238;7.2
77.16096;1.66692;969;8.1
76.66675;1.2725;1112;7.116
78.77529;2.62857;1515;8.2
84.55151;6.39547;6319;9.2
75.71489;0.30428;633;7.152
66.13527;-6.3113;1355;9.0
79.42988;2.54183;1050;8.4
78.68254;2.01349;1139;7.127
75.34725;-0.49999;1295;8.2
76.9051;0.59356;1540;6.7
80.04201;2.69347;1078;8.855
83.15954;4.82182;2040;9.05
78.46614;1.36213;1427;9.005
79.89817;2.29355;1063;8.0
79.59011;1.89213;1813;7.35
76.20695;-0.54461;1087;8.8
313.58301;-30.75736;2473;9.7
77.62822;0.3808;1434;8.715
75.35421;-1.42498;1600;6.9
74.64473;-2.08387;3100;9.95
78.12073;0.29684;450;8.47
80.15595;1.56152;1499;8.155
82.35576;2.95703;1456;8.0
95.90285;12.30435;1800;9.2
80.27738;0.94758;901;8.2
80.13784;0.74331;1800;6.6
80.22263;0.78659;1800;6.6
83.75115;3.3019;1318;8.93
79.35323;0.00407;780;8.0
69.86027;-7.14709;770;8.858
64.91044;-10.74272;1250;9.11
80.47704;0.61725;3091;6.77
90.0907;7.64713;2220;8.9
84.87747;3.78436;2070;8.05
82.9275;2.20039;1233;7.9
81.49841;0.61771;1186;8.58
81.74837;0.73477;1790;6.1
82.33018;0.75695;857;8.7
61.10735;-15.19772;1070;9.26
76.63988;-4.02848;1791;8.8
77.46772;-3.41795;2293;8.4
78.57526;-2.80038;1150;8.865
76.87048;-4.26179;1905;8.6
78.01832;-3.39545;2110;8.9
67.4655;-11.50788;537;8.1
83.58443;0.67824;1238;8.3
77.02756;-4.60434;4431;9.0
80.29222;-2.09738;1656;8.1
87.15517;2.58973;2153;7.8
82.09638;-1.71452;1060;8.7
78.11919;-5.24096;2545;9.3
79.77262;-4.1821;700;8.67
86.2171;0.80175;833;
83.98819;-1.0904;852;8.275
87.40839;1.53478;700;9.11
89.06673;2.59839;1887;8.775
85.47854;-0.46718;741;8.9
85.46586;-0.478;760;8.54
90.38888;3.6929;3100;9.09
87.19507;0.97472;3948;8.91
90.41964;3.19008;1201;8.92
86.20375;-1.05293;2220;8.745
85.67871;-1.51939;2700;8.55
88.12543;0.60705;1236;8.6
88.75134;1.05157;2533;9.24
86.21156;-1.40995;1000;
83.12896;-4.14283;2300;9.6
88.06862;0.10959;4940;8.6
88.24344;0.2658;3930;8.95
86.15362;-1.69676;1758;8.255
84.26453;-3.87715;1760;8.7
91.3361;2.30291;900;8.138
90.05529;0.92748;1734;8.47
64.54419;-21.4428;1000;9.5
88.2946;-1.24611;1466;8.5
81.96021;-7.17121;2928;8.935
87.87925;-1.70502;951;7.82
91.31286;1.49308;6520;9.25
90.02026;0.28088;4100;9.35
79.1329;-9.76087;1760;8.7
92.93065;2.7972;1355;8.85
82.88489;-6.6535;450;8.14
89.57554;-0.41906;2083;8.64
88.75013;-1.24436;1236;8.8
85.89038;-4.15006;3326;9.1
90.81968;-0.10513;1355;8.5
93.02672;1.79779;3981;7.7
85.99087;-5.2213;12100;9.6
97.44866;5.59745;1275;8.9
88.58898;-3.59079;964;8.3
345.82694;-43.90075;2933;9.75
92.74295;0.46335;2280;8.9
92.89857;0.58987;404;8.35
92.32104;-0.16243;1230;8.8
89.9587;-2.74827;1910;8.85
92.49947;-0.27578;2400;8.938
83.0584;-9.88263;689;7.977
91.2161;-1.69527;3600;8.0
93.55897;0.67071;1423;8.785
97.92563;5.07018;8630;9.5
95.26671;2.07003;7500;8.6
91.42571;-2.02417;1684;8.48
95.59318;2.05646;1710;8.14
94.20038;0.47249;2328;7.5
91.19866;-2.90482;1442;8.233
92.56135;-1.64614;1268;8.244
94.4066;0.21991;1298;8.142
92.40268;-2.24197;326;8.445
69.96294;-24.30157;765;9.18
96.1217;1.57899;1934;8.8
94.25373;-0.77496;1500;9.15
91.04285;-4.34847;1785;8.95
94.4532;-0.74379;2700;8.66
96.37646;1.24021;4724;8.85
96.27193;1.10287;1075;8.78
96.54172;1.26491;4499;9.0
96.75187;1.08286;8435;8.7
99.31174;3.73405;835;7.054
97.07051;1.00203;550;7.75
96.07075;-0.33309;1940;8.915
105.40437;9.88501;1070;8.08
96.4835;-0.39216;6699;8.95
95.58679;-1.5481;1676;6.85
97.90718;1.15016;1445;8.6
97.34207;0.42942;2307;7.254
105.34686;9.48501;2100;9.55
100.36438;3.59662;2650;9.05
98.70853;1.54425;2201;9.31
96.16121;-1.58881;1680;8.6
98.48835;1.06328;6001;8.895
96.46666;-2.10214;1867;9.25
96.62877;-2.02319;1800;8.45
99.09247;0.96386;1116;9.1
99.24248;0.94917;14655;8.1
94.38331;-5.49491;852;6.0
104.01169;6.45717;789;7.278
105.07204;7.31849;5600;8.0
97.45074;-2.54328;600;8.59
99.4941;-0.31796;5000;7.03
99.71705;-0.0752;1930;8.4
70.09364;-34.27908;1080;9.65
104.84943;5.39401;1200;6.67
95.49614;-7.33867;1168;8.617
99.64424;-1.83188;6000;9.0
110.89809;13.08353;2003;6.88
99.76244;-2.21278;2088;8.85
104.45076;4.14773;900;7.02
103.34517;2.20839;2578;9.3
101.40481;-0.59579;2616;8.436
99.94169;-2.7099;2600;8.9
104.15195;3.22854;3399;9.15
102.81212;1.22792;1169;8.0
102.70108;0.78202;3330;6.9
112.06252;13.90555;3990;8.8
110.27175;11.36447;1964;9.295
101.97542;-0.60023;1740;8.6
98.85683;-5.52389;808;8.058
101.36776;-1.85216;3467;8.65
101.43776;-1.8311;7900;9.5
104.7184;2.83429;2500;7.68
101.36336;-2.20303;2346;6.982
105.15238;3.40921;4427;9.1
103.09132;-0.08216;2200;9.1
104.35936;1.76627;5610;8.715
106.72367;5.30457;800;7.4
102.7828;-0.7009;3600;6.7
102.80908;-0.67363;3600;6.7
97.73201;-8.38723;1000;8.83
104.0335;0.92062;2830;8.2
103.09464;-1.18457;2630;6.996
103.58346;-0.59773;2270;6.7
105.74201;2.54098;5502;8.85
104.44536;0.28848;1620;7.86
101.88313;-4.58813;2450;8.45
105.47064;1.203;3343;7.65
106.82097;3.3078;4150;7.0
103.70956;-2.09947;3180;7.6
104.7362;-0.60026;2500;7.08
103.56422;-2.59125;2500;7.73
103.10222;-3.41481;2500;8.835
104.17892;-2.21176;3864;8.905
95.91114;-15.90229;700;6.98
105.78109;0.05533;2300;7.7
95.4654;-17.81438;810;7.3
106.64296;0.36423;2410;8.4
105.89575;-1.0538;2550;7.7
107.12425;1.14654;2585;7.0
106.63663;-0.39198;3392;8.98
106.95809;0.11664;1726;8.85
104.74615;-3.99882;250;8.41
103.85612;-5.64768;3739;9.4
107.14086;-0.88398;2222;7.077
107.89838;0.57436;2890;8.95
101.73451;-11.48325;600;8.48
104.79447;-6.42184;1310;8.78
106.74976;-2.95268;4799;8.925
107.76237;-1.01682;3010;8.1
109.61692;2.36027;5763;8.4
109.86127;2.76415;7001;9.0
109.1335;1.11977;2300;7.15
108.48145;-0.39578;3379;7.446
107.61254;-2.27496;4150;9.15
108.31735;-0.80694;4739;9.2
108.95513;0.27186;1190;7.6
110.17824;2.76511;1500;7.01
106.70972;-4.90087;1000;8.8
109.40223;-0.23161;3208;8.6
110.72796;2.66886;1800;8.25
110.85794;2.74921;831;8.79
110.93046;2.76298;700;7.85
109.99293;-0.08621;1664;9.0
110.20367;0.01445;3065;8.0
106.58583;-8.4543;800;7.26
110.69349;0.47021;4570;9.0
110.56986;0.14433;1967;8.557
112.26029;4.135;350;7.82
110.90265;0.06435;3480;7.35
110.96904;-0.74883;2329;8.83
111.57175;0.56539;2644;8.7
111.46826;0.13998;1200;8.664
111.35021;-0.22512;2114;7.095
109.93538;-5.96294;900;8.44
115.95188;10.10634;4900;9.5
112.81888;0.4345;1400;8.2
112.8414;0.13398;2510;7.6
113.65962;2.45763;3775;8.05
111.22926;-5.36549;1000;8.69
113.99359;2.03176;1252;9.0
109.51286;-11.60796;1534;9.3
113.01519;-1.0399;1859;8.9
112.98485;-1.52691;805;8.35
114.50401;2.63123;2693;8.75
111.90042;-5.69727;1600;9.086
112.84149;-2.86494;1900;8.3
113.90754;0.45152;3450;8.2
111.51162;-8.65511;480;8.4
117.39929;10.78819;1607;9.3
110.56553;-12.53524;500;8.26
114.02526;-1.04697;2370;8.2
113.01307;-4.83112;9638;9.5
113.98231;-3.11012;1998;8.65
114.30217;-2.6429;1250;8.802
115.1232;0.31862;2144;6.775
114.55713;-2.49045;7379;8.95
115.19727;-0.98515;2012;8.55
115.78468;1.24127;2800;6.98
117.16323;6.47729;2892;9.048
115.7923;1.00185;2680;7.0
115.94646;0.68251;2103;7.163
115.96777;0.27021;7900;9.8
115.66689;-1.17296;1732;8.7
102.73945;-44.27294;1500;9.17
116.20753;0.33628;3400;7.03
116.12105;-0.15091;2490;7.85
116.32461;0.66506;1260;8.6
116.20575;-0.354;1937;8.25
117.05029;2.30975;2530;7.3
116.42113;-0.77647;2750;8.2
115.53194;-5.38502;1795;9.15
116.55926;-0.56799;2000;7.588
116.58872;-1.00851;2944;7.749
116.37553;-2.16264;2105;8.65
116.57517;-1.53305;5875;8.705
118.12709;5.64419;780;9.3
