#Modelo de Vallée 2005					
					
					
#	RGC	=8.50 r0	=2.71 p=1	2.0 k=0.2126	=2.71 p=1
#	For	mat: arm	X Y R		X Y R
2.0000	335.0000	16.6040	-7.7430	18.3200	-16.2430
2.0000	340.0000	17.5380	-6.3830	18.6630	-14.8830
2.0000	345.0000	18.3650	-4.9210	19.0130	-13.4210
2.0000	350.0000	19.0750	-3.3630	19.3690	-11.8630
2.0000	355.0000	19.6560	-1.7200	19.7310	-10.2200
2.0000	360.0000	20.1010	0.0000	20.1010	-8.5000
2.0000	365.0000	20.3990	1.7850	20.4770	-6.7150
2.0000	370.0000	20.5440	3.6220	20.8610	-4.8780
2.0000	375.0000	20.5270	5.5000	21.2510	-3.0000
2.0000	380.0000	20.3430	7.4040	21.6490	-1.0960
2.0000	385.0000	19.9880	9.3210	22.0540	0.8210
2.0000	390.0000	19.4570	11.2340	22.4670	2.7340
2.0000	395.0000	18.7490	13.1280	22.8880	4.6280
2.0000	400.0000	17.8610	14.9870	23.3160	6.4870
2.0000	405.0000	16.7960	16.7960	23.7530	8.2960
2.0000	410.0000	15.5540	18.5360	24.1980	10.0360
2.0000	415.0000	14.1390	20.1930	24.6510	11.6930
2.0000	420.0000	12.5560	21.7480	25.1120	13.2480
2.0000	425.0000	10.8120	23.1850	25.5820	14.6850
2.0000	430.0000	8.9130	24.4900	26.0610	15.9900
2.0000	435.0000	6.8710	25.6440	26.5490	17.1440
2.0000	440.0000	4.6970	26.6350	27.0460	18.1350
2.0000	445.0000	2.4010	27.4480	27.5530	18.9480
2.0000	450.0000	0.0000	28.0680	28.0680	19.5680
2.0000	455.0000	-2.4920	28.4850	28.5940	19.9850
2.0000	460.0000	-5.0580	28.6870	29.1290	20.1870
2.0000	465.0000	-7.6800	28.6630	29.6750	20.1630
2.0000	470.0000	-10.3390	28.4070	30.2300	19.9070
2.0000	475.0000	-13.0150	27.9110	30.7960	19.4110
2.0000	480.0000	-15.6860	27.1700	31.3730	18.6700
2.0000	485.0000	-18.3320	26.1800	31.9600	17.6800
2.0000	490.0000	-20.9280	24.9410	32.5580	16.4410
2.0000	495.0000	-23.4530	23.4530	33.1680	14.9530
2.0000	500.0000	-25.8840	21.7190	33.7890	13.2190
2.0000	505.0000	-28.1960	19.7430	34.4220	11.2430
2.0000	510.0000	-30.3680	17.5330	35.0660	9.0330
2.0000	515.0000	-32.3760	15.0970	35.7230	6.5970
2.0000	520.0000	-34.1970	12.4470	36.3910	3.9470
2.0000	525.0000	-35.8090	9.5950	37.0730	1.0950
2.0000	530.0000	-37.1930	6.5580	37.7670	-1.9420
2.0000	535.0000	-38.3270	3.3530	38.4740	-5.1470
2.0000	540.0000	-39.1940	0.0000	39.1940	-8.5000
					
3.0000	0.0000	7.3820	0.0000	7.3820	-8.5000
3.0000	5.0000	7.4920	0.6550	7.5210	-7.8450
3.0000	10.0000	7.5450	1.3300	7.6620	-7.1700
3.0000	15.0000	7.5390	2.0200	7.8050	-6.4800
3.0000	20.0000	7.4720	2.7190	7.9510	-5.7810
3.0000	25.0000	7.3410	3.4230	8.1000	-5.0770
3.0000	30.0000	7.1460	4.1260	8.2520	-4.3740
3.0000	35.0000	6.8860	4.8220	8.4060	-3.6780
3.0000	40.0000	6.5600	5.5040	8.5630	-2.9960
3.0000	45.0000	6.1690	6.1690	8.7240	-2.3310
3.0000	50.0000	5.7130	6.8080	8.8870	-1.6920
3.0000	55.0000	5.1930	7.4160	9.0530	-1.0840
3.0000	60.0000	4.6110	7.9870	9.2230	-0.5130
3.0000	65.0000	3.9710	8.5150	9.3960	0.0150
3.0000	70.0000	3.2740	8.9940	9.5720	0.4940
3.0000	75.0000	2.5240	9.4190	9.7510	0.9190
3.0000	80.0000	1.7250	9.7820	9.9330	1.2820
3.0000	85.0000	0.8820	10.0810	10.1190	1.5810
3.0000	90.0000	0.0000	10.3090	10.3090	1.8090
3.0000	95.0000	-0.9150	10.4620	10.5020	1.9620
3.0000	100.0000	-1.8580	10.5360	10.6980	2.0360
3.0000	105.0000	-2.8210	10.5270	10.8990	2.0270
3.0000	110.0000	-3.7970	10.4330	11.1030	1.9330
3.0000	115.0000	-4.7800	10.2510	11.3110	1.7510
3.0000	120.0000	-5.7610	9.9790	11.5220	1.4790
3.0000	125.0000	-6.7330	9.6150	11.7380	1.1150
3.0000	130.0000	-7.6860	9.1600	11.9580	0.6600
3.0000	135.0000	-8.6140	8.6140	12.1820	0.1140
3.0000	140.0000	-9.5060	7.9770	12.4100	-0.5230
3.0000	145.0000	-10.3560	7.2510	12.6420	-1.2490
3.0000	150.0000	-11.1530	6.4390	12.8790	-2.0610
3.0000	155.0000	-11.8910	5.5450	13.1200	-2.9550
3.0000	160.0000	-12.5600	4.5710	13.3660	-3.9290
3.0000	165.0000	-13.1520	3.5240	13.6160	-4.9760
3.0000	170.0000	-13.6600	2.4090	13.8710	-6.0910
3.0000	175.0000	-14.0770	1.2320	14.1300	-7.2680
3.0000	180.0000	-14.3950	0.0000	14.3950	-8.5000
3.0000	185.0000	-14.6090	-1.2780	14.6640	-9.7780
3.0000	190.0000	-14.7120	-2.5940	14.9390	-11.0940
3.0000	195.0000	-14.7000	-3.9390	15.2190	-12.4390
3.0000	200.0000	-14.5690	-5.3030	15.5040	-13.8030
3.0000	205.0000	-14.3140	-6.6750	15.7940	-15.1750
3.0000	210.0000	-13.9340	-8.0450	16.0900	-16.5450
3.0000	215.0000	-13.4270	-9.4010	16.3910	-17.9010
3.0000	220.0000	-12.7910	-10.7330	16.6980	-19.2330
3.0000	225.0000	-12.0280	-12.0280	17.0100	-20.5280
3.0000	230.0000	-11.1390	-13.2750	17.3290	-21.7750
3.0000	235.0000	-10.1250	-14.4610	17.6530	-22.9610
3.0000	240.0000	-8.9920	-15.5740	17.9840	-24.0740
3.0000	245.0000	-7.7430	-16.6040	18.3200	-25.1040
3.0000	250.0000	-6.3830	-17.5380	18.6630	-26.0380
3.0000	255.0000	-4.9210	-18.3650	19.0130	-26.8650
3.0000	260.0000	-3.3630	-19.0750	19.3690	-27.5750
3.0000	265.0000	-1.7200	-19.6560	19.7310	-28.1560
3.0000	270.0000	0.0000	-20.1010	20.1010	-28.6010
3.0000	275.0000	1.7850	-20.3990	20.4770	-28.8990
3.0000	280.0000	3.6220	-20.5440	20.8610	-29.0440
3.0000	285.0000	5.5000	-20.5270	21.2510	-29.0270
3.0000	290.0000	7.4040	-20.3430	21.6490	-28.8430
3.0000	295.0000	9.3210	-19.9880	22.0540	-28.4880
3.0000	300.0000	11.2340	-19.4570	22.4670	-27.9570
3.0000	305.0000	13.1280	-18.7490	22.8880	-27.2490
3.0000	310.0000	14.9870	-17.8610	23.3160	-26.3610
3.0000	315.0000	16.7960	-16.7960	23.7530	-25.2960
3.0000	320.0000	18.5360	-15.5540	24.1980	-24.0540
3.0000	325.0000	20.1930	-14.1390	24.6510	-22.6390
3.0000	330.0000	21.7480	-12.5560	25.1120	-21.0560
3.0000	335.0000	23.1850	-10.8120	25.5820	-19.3120
3.0000	340.0000	24.4900	-8.9130	26.0610	-17.4130
3.0000	345.0000	25.6440	-6.8710	26.5490	-15.3710
3.0000	350.0000	26.6350	-4.6970	27.0460	-13.1970
3.0000	355.0000	27.4480	-2.4010	27.5530	-10.9010
3.0000	360.0000	28.0680	0.0000	28.0680	-8.5000
3.0000	365.0000	28.4850	2.4920	28.5940	-6.0080
3.0000	370.0000	28.6870	5.0580	29.1290	-3.4420
3.0000	375.0000	28.6630	7.6800	29.6750	-0.8200
3.0000	380.0000	28.4070	10.3390	30.2300	1.8390
3.0000	385.0000	27.9110	13.0150	30.7960	4.5150
3.0000	390.0000	27.1700	15.6860	31.3730	7.1860
3.0000	395.0000	26.1800	18.3320	31.9600	9.8320
3.0000	400.0000	24.9410	20.9280	32.5580	12.4280
3.0000	405.0000	23.4530	23.4530	33.1680	14.9530
3.0000	410.0000	21.7190	25.8840	33.7890	17.3840
3.0000	415.0000	19.7430	28.1960	34.4220	19.6960
3.0000	420.0000	17.5330	30.3680	35.0660	21.8680
3.0000	425.0000	15.0970	32.3760	35.7230	23.8760
3.0000	430.0000	12.4470	34.1970	36.3910	25.6970
3.0000	435.0000	9.5950	35.8090	37.0730	27.3090
3.0000	440.0000	6.5580	37.1930	37.7670	28.6930
3.0000	445.0000	3.3530	38.3270	38.4740	29.8270
3.0000	450.0000	0.0000	39.1940	39.1940	30.6940
3.0000	455.0000	-3.4800	39.7760	39.9280	31.2760
3.0000	460.0000	-7.0630	40.0580	40.6750	31.5580
3.0000	465.0000	-10.7250	40.0250	41.4370	31.5250
3.0000	470.0000	-14.4380	39.6670	42.2130	31.1670
3.0000	475.0000	-18.1740	38.9740	43.0030	30.4740
3.0000	480.0000	-21.9040	37.9390	43.8080	29.4390
3.0000	485.0000	-25.5980	36.5570	44.6280	28.0570
3.0000	490.0000	-29.2240	34.8270	45.4640	26.3270
3.0000	495.0000	-32.7500	32.7500	46.3150	24.2500
3.0000	500.0000	-36.1440	30.3280	47.1820	21.8280
3.0000	505.0000	-39.3730	27.5690	48.0660	19.0690
3.0000	510.0000	-42.4050	24.4830	48.9650	15.9830
3.0000	515.0000	-45.2090	21.0810	49.8820	12.5810
3.0000	520.0000	-47.7520	17.3800	50.8160	8.8800
3.0000	525.0000	-50.0040	13.3980	51.7680	4.8980
3.0000	530.0000	-51.9360	9.1580	52.7370	0.6580
3.0000	535.0000	-53.5200	4.6820	53.7240	-3.8180
3.0000	540.0000	-54.7300	0.0000	54.7300	-8.5000
					
4.0000	0.0000	2.7110	0.0000	2.7110	-8.5000
4.0000	5.0000	2.7520	0.2410	2.7620	-8.2590
4.0000	10.0000	2.7710	0.4890	2.8140	-8.0110
4.0000	15.0000	2.7690	0.7420	2.8670	-7.7580
4.0000	20.0000	2.7440	0.9990	2.9200	-7.5010
4.0000	25.0000	2.6960	1.2570	2.9750	-7.2430
4.0000	30.0000	2.6250	1.5150	3.0310	-6.9850
4.0000	35.0000	2.5290	1.7710	3.0870	-6.7290
4.0000	40.0000	2.4090	2.0220	3.1450	-6.4780
4.0000	45.0000	2.2660	2.2660	3.2040	-6.2340
4.0000	50.0000	2.0980	2.5000	3.2640	-6.0000
4.0000	55.0000	1.9070	2.7240	3.3250	-5.7760
4.0000	60.0000	1.6940	2.9340	3.3870	-5.5660
4.0000	65.0000	1.4580	3.1270	3.4510	-5.3730
4.0000	70.0000	1.2020	3.3030	3.5150	-5.1970
4.0000	75.0000	0.9270	3.4590	3.5810	-5.0410
4.0000	80.0000	0.6340	3.5930	3.6480	-4.9070
4.0000	85.0000	0.3240	3.7020	3.7170	-4.7980
4.0000	90.0000	0.0000	3.7860	3.7860	-4.7140
4.0000	95.0000	-0.3360	3.8420	3.8570	-4.6580
4.0000	100.0000	-0.6820	3.8700	3.9290	-4.6300
4.0000	105.0000	-1.0360	3.8660	4.0030	-4.6340
4.0000	110.0000	-1.3950	3.8320	4.0780	-4.6680
4.0000	115.0000	-1.7560	3.7650	4.1540	-4.7350
4.0000	120.0000	-2.1160	3.6650	4.2320	-4.8350
4.0000	125.0000	-2.4730	3.5310	4.3110	-4.9690
4.0000	130.0000	-2.8230	3.3640	4.3920	-5.1360
4.0000	135.0000	-3.1640	3.1640	4.4740	-5.3360
4.0000	140.0000	-3.4910	2.9300	4.5580	-5.5700
4.0000	145.0000	-3.8030	2.6630	4.6430	-5.8370
4.0000	150.0000	-4.0960	2.3650	4.7300	-6.1350
4.0000	155.0000	-4.3670	2.0360	4.8190	-6.4640
4.0000	160.0000	-4.6130	1.6790	4.9090	-6.8210
4.0000	165.0000	-4.8300	1.2940	5.0010	-7.2060
4.0000	170.0000	-5.0170	0.8850	5.0940	-7.6150
4.0000	175.0000	-5.1700	0.4520	5.1900	-8.0480
4.0000	180.0000	-5.2870	0.0000	5.2870	-8.5000
4.0000	185.0000	-5.3650	-0.4690	5.3860	-8.9690
4.0000	190.0000	-5.4030	-0.9530	5.4870	-9.4530
4.0000	195.0000	-5.3990	-1.4470	5.5890	-9.9470
4.0000	200.0000	-5.3510	-1.9470	5.6940	-10.4470
4.0000	205.0000	-5.2570	-2.4510	5.8010	-10.9510
4.0000	210.0000	-5.1180	-2.9550	5.9090	-11.4550
4.0000	215.0000	-4.9310	-3.4530	6.0200	-11.9530
4.0000	220.0000	-4.6980	-3.9420	6.1330	-12.4420
4.0000	225.0000	-4.4180	-4.4180	6.2470	-12.9180
4.0000	230.0000	-4.0910	-4.8750	6.3640	-13.3750
4.0000	235.0000	-3.7190	-5.3110	6.4840	-13.8110
4.0000	240.0000	-3.3020	-5.7200	6.6050	-14.2200
4.0000	245.0000	-2.8440	-6.0980	6.7290	-14.5980
4.0000	250.0000	-2.3440	-6.4410	6.8550	-14.9410
4.0000	255.0000	-1.8070	-6.7450	6.9830	-15.2450
4.0000	260.0000	-1.2350	-7.0060	7.1140	-15.5060
4.0000	265.0000	-0.6320	-7.2190	7.2470	-15.7190
4.0000	270.0000	0.0000	-7.3820	7.3820	-15.8820
4.0000	275.0000	0.6550	-7.4920	7.5210	-15.9920
4.0000	280.0000	1.3300	-7.5450	7.6620	-16.0450
4.0000	285.0000	2.0200	-7.5390	7.8050	-16.0390
4.0000	290.0000	2.7190	-7.4720	7.9510	-15.9720
4.0000	295.0000	3.4230	-7.3410	8.1000	-15.8410
4.0000	300.0000	4.1260	-7.1460	8.2520	-15.6460
4.0000	305.0000	4.8220	-6.8860	8.4060	-15.3860
4.0000	310.0000	5.5040	-6.5600	8.5630	-15.0600
4.0000	315.0000	6.1690	-6.1690	8.7240	-14.6690
4.0000	320.0000	6.8080	-5.7130	8.8870	-14.2130
4.0000	325.0000	7.4160	-5.1930	9.0530	-13.6930
4.0000	330.0000	7.9870	-4.6110	9.2230	-13.1110
4.0000	335.0000	8.5150	-3.9710	9.3960	-12.4710
4.0000	340.0000	8.9940	-3.2740	9.5720	-11.7740
4.0000	345.0000	9.4190	-2.5240	9.7510	-11.0240
4.0000	350.0000	9.7820	-1.7250	9.9330	-10.2250
4.0000	355.0000	10.0810	-0.8820	10.1190	-9.3820
4.0000	360.0000	10.3090	0.0000	10.3090	-8.5000
4.0000	365.0000	10.4620	0.9150	10.5020	-7.5850
4.0000	370.0000	10.5360	1.8580	10.6980	-6.6420
4.0000	375.0000	10.5270	2.8210	10.8990	-5.6790
4.0000	380.0000	10.4330	3.7970	11.1030	-4.7030
4.0000	385.0000	10.2510	4.7800	11.3110	-3.7200
4.0000	390.0000	9.9790	5.7610	11.5220	-2.7390
4.0000	395.0000	9.6150	6.7330	11.7380	-1.7670
4.0000	400.0000	9.1600	7.6860	11.9580	-0.8140
