#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#
# Edad = log(t)
#longitud   latitud    Dist   Edad   [Fe/H] e_[Fe/H] 
#[grados]   [grados]   [pc]   [año]   [sol]  [sol]
#
l;b;d;Age;FeH;eFeH
271.65664;-0.70767;3600;7.0;;
261.97952;8.58431;1855;8.626;-0.17;0.15
268.63971;3.21622;1714;9.4;;
273.7544;-0.9373;1262;7.734;;
277.8298;-4.41922;1134;8.113;0.1;0.06
275.3143;-1.1761;2607;8.203;;
275.93586;-1.25374;774;7.85;;
274.68557;1.75702;2062;7.968;-0.073;0.02
277.09858;-0.81798;1979;7.093;;
279.5956;-2.07139;922;7.845;;
283.3317;-3.83954;911;8.093;0.02;0.09
284.44224;-4.86061;3100;;;
283.82777;-3.69808;1300;8.81;;
284.27583;-0.3359;2850;6.3;;
286.0885;-2.63496;1445;8.3;;
284.58795;0.03503;2446;7.142;-0.34;0.06
286.35758;-1.70513;2820;8.0;-0.217;0.003
286.78381;-1.56934;710;8.38;;
284.18767;3.84844;894;8.229;;
289.86409;-5.56049;1995;7.89;;
287.01632;-0.31471;2027;6.857;;
289.60139;-4.90609;161;7.507;0.0;0.02
287.49293;-0.54363;2300;6.3;;
287.62381;-0.65171;2900;6.0;;
288.02502;-0.85599;2412;6.764;;
289.85431;-1.7752;2218;7.61;;
288.83386;0.69144;3049;7.45;;
289.51473;-0.41135;990;8.471;;
289.46931;0.1394;3504;7.023;-0.145;0.127
289.57081;1.34681;492;8.477;0.02;0.03
290.70468;0.2022;1995;6.891;;
290.79847;0.07673;1776;6.784;;
290.98642;-0.13464;1358;7.194;;
291.20383;-0.17829;1651;7.231;;
291.20576;-0.17214;2000;7.48;;
290.50953;1.59576;1577;7.222;;
292.40206;-1.79898;1238;8.542;0.01;0.01
292.90393;-2.41192;1715;8.55;0.08;0.12
286.76411;16.91843;938;9.077;-0.19;0.05
294.8489;-1.6541;1794;6.818;;
294.36722;6.18263;1850;9.1;0.02;0.04
296.79197;-0.49008;1357;8.343;-0.03;0.03
297.30597;-2.28956;494;8.508;;
299.31303;4.55596;2600;9.2;0.12;0.01
301.6836;-5.52762;2190;9.95;-0.03;0.03
303.62489;-2.09706;3079;8.369;-0.01;0.04
305.54125;-4.34735;1963;8.759;;
306.14857;0.06313;1810;6.9;;
305.92661;-2.2431;1442;7.478;;
307.53561;3.51779;1986;7.986;0.12;0.05
307.13424;0.26246;2226;7.59;0.043;0.27
307.10266;-1.64016;1169;8.322;;
307.59468;1.20155;2095;7.02;0.06;0.09
307.73152;1.5616;1777;8.001;;
307.57435;-0.29655;1263;7.696;;
308.22605;0.31003;2240;9.08;;
309.161;-0.71377;1108;7.146;0.0;0.11
310.22922;0.11452;1215;8.202;-0.02;
310.84938;-0.33733;1900;8.0;0.04;0.1
311.60172;2.11443;2630;8.4;;
315.74624;12.6281;700;8.2;-0.06;0.12
313.86522;-0.45182;900;7.95;;
314.67034;-0.09987;2000;7.9;-0.18;0.02
314.7122;-0.30156;1500;8.9;;
314.6474;-0.58093;1516;7.95;-0.17;0.02
314.89755;-0.89986;1310;8.03;;
316.93699;3.39388;666;7.968;-0.03;0.13
321.57316;3.59274;933;8.95;0.05;0.04
321.12469;2.46019;1192;8.9;;
320.51645;-1.20022;3272;6.864;;
320.35652;-1.80667;1174;8.11;;
324.654;0.65646;1100;9.11;;
326.00826;-1.92494;2050;8.6;0.0;0.08
325.77998;-2.98598;2690;9.08;;
324.55083;-5.884;756;7.889;0.19;
329.28129;-1.49812;1823;8.069;0.02;0.09
330.9588;-0.84935;2160;8.78;0.04;0.07
329.74543;-2.20486;1417;8.076;0.138;0.06
331.46833;-0.59707;1000;7.6;;
327.7258;-5.42567;891;7.976;-0.01;0.06
332.54711;-1.79839;1343;8.11;;
340.74073;6.01617;512;8.147;;
334.91703;-0.19763;1260;8.95;0.15;0.07
333.27589;-1.8794;956;6.853;;
339.37785;2.51507;1007;7.5;;
336.38546;-0.49327;2000;8.18;;
334.39893;-2.34732;1551;8.4;;
336.71065;-1.57365;1155;6.775;;
337.99595;-1.06899;2054;6.928;;
338.55974;-1.03955;1200;7.9;-1.053;0.15
338.56059;-1.1433;1216;6.78;;
340.67241;0.0061;4300;7.54;;
343.46435;1.18409;1243;6.843;;
340.91894;-1.08859;881;6.712;;
345.46836;2.46564;1131;7.608;;
344.70091;1.49573;1138;6.919;;
341.53726;-1.18569;981;7.386;;
340.68324;-1.91968;865;7.415;;
335.45979;-6.25068;1510;9.7;0.445;0.014
341.99744;-1.51663;1031;8.336;0.02;0.09
346.04866;1.2997;1080;7.6;;
347.7306;1.97246;479;8.497;0.0;
353.16092;0.89207;1995;7.0;;
340.08813;-7.90681;888;9.057;0.15;0.01
357.52472;2.84442;1000;8.85;;
355.68968;0.04118;985;6.962;;
356.00997;-0.30438;1343;7.29;0.326;0.11
353.92991;-1.77377;1192;7.506;;
352.88044;-2.49773;1466;7.351;;
356.58027;-0.77671;487;7.974;0.06;0.15
356.93164;-1.54919;741;8.087;-0.613;0.556
359.73813;-0.33349;1514;7.08;;
30.61916;17.08186;352;7.634;-0.03;0.04
359.22147;-0.96005;2100;7.7;0.03;0.14
359.47755;-1.60053;2080;8.134;-0.34;
355.86068;-4.50059;301;8.475;0.14;0.06
9.89363;2.83423;628;8.477;0.04;0.02
29.74954;12.51709;249;7.506;;
7.08589;-0.28732;816;7.368;;
7.32791;-1.38189;938;7.849;-0.334;0.08
18.24667;1.69476;1696;6.81;;
12.8598;-1.30596;3600;8.3;0.43;0.15
16.95404;0.79337;1800;6.11;;
15.09524;-0.74536;1300;6.0;0.132;0.11
12.3971;-3.22816;1755;7.685;-1.544;0.19
19.48143;-0.17706;2600;8.6;;
36.01127;8.32774;376;8.629;0.06;0.01
13.70239;-4.43362;620;7.965;0.17;0.06
36.38077;5.24222;484;8.699;-0.01;0.1
28.28085;0.01118;1206;7.862;;
31.13785;0.83273;2300;7.81;;
27.35534;-1.94659;2178;7.893;;
28.21896;-2.21826;2974;7.863;;
27.30702;-2.77598;1877;8.4;0.0;0.05
42.12038;4.71511;1075;8.178;;
14.883;-9.23566;690;7.803;;
66.86288;15.51471;390;7.731;;
15.39511;-9.59275;789;7.961;-0.31;
33.69234;-2.48379;3000;9.0;-0.15;0.11
38.59773;-1.68754;1421;7.719;;
39.08842;-1.68145;1507;7.79;0.1;0.14
55.32561;0.91655;1778;8.98;0.03;0.13
79.2105;12.01475;1215;8.799;-0.02;0.04
73.98387;8.49134;2403;9.36;-0.02;0.02
63.4533;0.82933;1675;7.46;;
65.69816;1.1889;2067;7.883;;
56.27924;-4.65404;1604;8.05;;
58.81053;-4.68183;1467;8.036;;
79.56037;6.8393;1189;8.91;-0.013;0.002
66.98395;-1.27031;2000;6.6;;
72.64476;2.05404;1574;6.958;;
72.75086;1.34551;1106;7.011;;
71.40032;0.27291;389;7.832;;
75.37338;1.31584;2398;6.87;;
76.12184;1.06486;972;7.542;;
76.66675;1.2725;1112;7.116;;
75.71489;0.30428;633;7.152;;
78.68254;2.01349;1139;7.127;;
76.9051;0.59356;1540;6.7;;
95.90285;12.30435;1800;9.2;0.0;0.1
69.86027;-7.14709;770;8.858;0.013;0.13
77.02756;-4.60434;4431;9.0;;
83.12896;-4.14283;2300;9.6;;
91.3361;2.30291;900;8.138;;
88.2946;-1.24611;1466;8.5;;
89.57554;-0.41906;2083;8.64;0.09;0.03
88.75013;-1.24436;1236;8.8;;
85.89038;-4.15006;3326;9.1;-0.16;0.09
90.81968;-0.10513;1355;8.5;;
88.58898;-3.59079;964;8.3;;
83.0584;-9.88263;689;7.977;;
91.2161;-1.69527;3600;8.0;;
91.19866;-2.90482;1442;8.233;-0.01;0.15
92.56135;-1.64614;1268;8.244;;
92.40268;-2.24197;326;8.445;0.01;0.01
99.31174;3.73405;835;7.054;;
97.90718;1.15016;1445;8.6;;
97.34207;0.42942;2307;7.254;;
105.34686;9.48501;2100;9.55;0.08;0.06
94.38331;-5.49491;852;6.0;;
104.01169;6.45717;789;7.278;0.16;0.03
95.49614;-7.33867;1168;8.617;-0.12;
101.40481;-0.59579;2616;8.436;;
98.85683;-5.52389;808;8.058;0.06;0.13
101.36776;-1.85216;3467;8.65;-0.15;0.18
104.0335;0.92062;2830;8.2;;
103.09464;-1.18457;2630;6.996;;
103.70956;-2.09947;3180;7.6;;
109.1335;1.11977;2300;7.15;;
108.48145;-0.39578;3379;7.446;;
110.90265;0.06435;3480;7.35;;
111.35021;-0.22512;2114;7.095;;
115.95188;10.10634;4900;9.5;-0.58;0.1
112.81888;0.4345;1400;8.2;;
109.51286;-11.60796;1534;9.3;;
115.1232;0.31862;2144;6.775;;
117.16323;6.47729;2892;9.048;-0.27;0.15
115.94646;0.68251;2103;7.163;0.06;0.14
116.12105;-0.15091;2490;7.85;;
115.53194;-5.38502;1795;9.15;0.02;0.09
118.12709;5.64419;780;9.3;;
