 #alfa     delta/R_g
   0.689    0.6393
   0.691    0.6373
   0.726    0.5934
   0.777    0.5290
   0.838    0.4510
   0.804    0.4946
   0.894    0.3774
   0.830    0.4605
   0.796    0.5041
   0.170    1.3699
   0.250    1.2387
   0.280    1.1927
   0.303    1.1572
   0.236    1.2610
   0.327    1.1228
   0.301    1.1601
   0.329    1.1200
   0.305    1.1543
   0.303    1.1572
   0.384    1.0410
   0.401    1.0175
   0.501    0.8821
   0.472    0.9202
   0.565    0.7978
   0.477    0.9130
   0.483    0.9058
   0.501    0.8821
   0.538    0.8337
   0.522    0.8543
   0.581    0.7780
   0.551    0.8156
   0.601    0.7519
   0.581    0.7780
   0.042    1.6356
   0.066    1.5757
   0.009    1.7442
   0.075    1.5559
   0.103    1.4963
   0.081    1.5416
  -0.016    1.8036
   0.044    1.6297
  -0.004    1.8036
   0.105    1.4920
   0.137    1.4303
   0.135    1.4342
   0.122    1.4584
   0.070    1.5657
   0.137    1.4303
   0.128    1.4462
   0.176    1.3591
   0.162    1.3846
   0.166    1.3772
   0.164    1.3809
   0.170    1.3699
   0.193    1.3310
   0.309    1.1485
   0.374    1.0543
   0.284    1.1867
   0.323    1.1285
   0.338    1.1060
   0.467    0.9274
   0.386    1.0384
   0.412    1.0020
   0.403    1.0149
   0.000    1.8036
   0.042    1.6356
   0.094    1.5140
   0.130    1.4422
   0.101    1.5007
   0.107    1.4877
   0.070    1.5657
   0.135    1.4342
   0.154    1.3995
   0.156    1.3958
   0.168    1.3736
   0.168    1.3736
   0.220    1.2870
   0.220    1.2870
   0.218    1.2903
   0.274    1.2017
   0.226    1.2772
   0.238    1.2577
   0.174    1.3627
   0.290    1.1777
   0.303    1.1572
   0.336    1.1088
   0.592    0.7627
   0.616    0.7326
   0.567    0.7956
   0.536    0.8360
   0.652    0.6864
   0.713    0.6092
   0.562    0.8022
   0.678    0.6535
   0.647    0.6926
   0.746    0.5678
   0.752    0.5600
   0.743    0.5717
   0.758    0.5522
   0.749    0.5639
   0.784    0.5194
   0.670    0.6637
   0.672    0.6617
   0.872    0.4058
   0.735    0.5815
   0.783    0.5214
   0.787    0.5156
   0.808    0.4889
   0.793    0.5079
   0.810    0.4870
   0.881    0.3944
   0.842    0.4454
   0.852    0.4322
   0.867    0.4133
   0.891    0.3812
   0.855    0.4284
   0.885    0.3888
   0.922    0.3390
   0.897    0.3736
