# Fotometría NGC 1261 Kravtsov+2010
#
# bs = candidatas a blue stragglers
#
# Xpos   Ypos    Vmag     U-B     B-V     V-I   bs
# pix     pix     mag     mag     mag     mag   
#  
1124.1  1071.2  16.281  -0.049   0.257   0.273  99
 818.7  1383.3  16.282   0.303   0.863   0.963  99
1071.2  1104.1  16.299   0.235   0.812   0.909  99
1119.9  1232.9  16.306   0.100   0.657   0.786  99
1025.6  1187.9  16.318   0.106   0.676   0.806  99
1114.3  1143.5  16.319   0.280   0.821   0.944  99
1246.1  1201.1  16.324   0.136   0.709   0.816  99
 978.2   868.1  16.325   0.087   0.739   0.849  99
1181.1   729.7  16.328   0.418   0.875   0.938  99
 776.4  1240.5  16.331   0.313   0.845   0.973  99
1056.1  1135.2  16.333   0.090   0.561   0.686  99
1064.2  1160.0  16.335   0.111   0.596   0.669  99
1110.5  1219.9  16.337   0.385   0.881   0.946  99
1147.9  1154.3  16.340   0.391   0.864   0.967  99
1071.5  1213.3  16.364   0.135   0.729   0.860  99
1092.0  1088.1  16.374  -0.004   0.595   0.716  99
 208.6  1075.9  16.375  -0.216   0.514   0.671  99
1089.7  1176.0  16.376   0.191   0.756   0.853  99
1037.9  1155.5  16.377   0.273   0.763   0.877  99
1368.1   155.2  16.379   0.605   0.922   0.926  99
1043.5   750.9  16.380   0.313   0.862   0.948  99
1345.3   981.9  16.385   0.278   0.861   0.934  99
1089.0  1166.6  16.386   0.318   0.753   0.944  99
 510.9   920.3  16.391   0.260   0.859   0.949  99
 876.9  1080.1  16.396   0.193   0.789   0.884  99
1062.4  1109.3  16.397   0.017   0.536   0.681  99
1475.4  1442.5  16.398   0.050   0.473   1.038  99
1297.1   888.2  16.399   0.079   0.675   0.807  99
1003.6  1036.0  16.405   0.350   0.857   0.944  99
 875.4  1098.4  16.408   0.024   0.633   0.771  99
1106.8  1146.2  16.409  99.999  99.999   0.615  99
1019.9  1211.6  16.413   0.044   0.598   0.735  99
1109.8   910.9  16.415   0.037   0.513   0.653  99
 982.2   985.9  16.416   0.290   0.837   0.926  99
1131.2  1323.7  16.419   0.301   0.855   0.961  99
 906.7  1821.4  16.422   0.150   0.673   0.712  99
1015.6  1080.9  16.435   0.065   0.705   0.871  99
 202.9   141.3  16.440   0.154   0.921   0.982  99
1194.7  1353.0  16.441   0.376   0.852   0.950  99
1116.1  1177.0  16.448   0.078   0.398   0.499  99
1071.5  1158.2  16.452   0.203   0.781   0.826  99
1240.9  1213.6  16.457   0.362   0.858   0.931  99
1095.4  1133.7  16.458  -0.171   0.344  99.999  99
