#Photometric Data (original 1264 rows)   Sung+2002
#
# available at 
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/123/290/table1&-c=ngc%202516&-c.u=arcmin&-c.r=2&-c.eq=J2000&-c.geom=r&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa
#
# Constraints: Prob<0|null
# 1251 lines selected
# 999'filled
#
# SBL   Vmag     B-V     U-B    e_V  e_B-V  e_U-B  Prob  SpType   
#        mag     mag     mag    mag    mag    mag  
# 
 119  10.882   0.334   0.110  0.009  0.014  0.011   0.99          
 120  13.916   0.642   0.075  0.001  0.006  0.007  99.99          
 121  15.789   0.873   0.369  0.012  0.014  0.024  99.99          
 122  14.129   1.052   0.896  0.010  0.012  0.013  99.99          
 123  16.004   0.660   0.104  0.000  0.006  0.017  99.99          
 124  14.494   0.679   0.135  0.000  0.009  0.009  99.99          
 125  15.470   1.082   0.900  0.003  0.008  0.036  99.99          
 126  16.692   0.667   0.037  0.000  0.033  0.040  99.99          
 127  15.968   0.731   0.112  0.002  0.010  0.022  99.99          
 129  16.741   0.968   0.500  0.010  0.014  0.051  99.99          
 130  15.044   0.957   0.690  0.004  0.004  0.016  99.99          
 131  16.318   0.772   0.198  0.009  0.014  0.026  99.99          
 132  14.231   0.746   0.238  0.009  0.010  0.012  99.99          
 133  14.527   0.709   0.164  0.008  0.008  0.010  99.99          
 134  16.662   0.600   0.033  0.034  0.035  0.029  99.99          
 135  16.208   0.768   0.229  0.016  0.021  0.028  99.99          
 138  13.702   0.669   0.162  0.002  0.003  0.004  99.99          
 139  16.989   0.781   0.200  0.015  0.018  0.039  99.99          
 140  16.769   0.969   0.527  0.001  0.012  0.054  99.99          
 141  13.571   0.777   0.280  0.005  0.005  0.002  99.99          
 142  11.628   0.448  99.999  0.005  0.014 99.999  99.99          
 143  16.948   0.652   0.007  0.029  0.029  0.036  99.99          
 144  15.650   0.937   0.883  0.002  0.005  0.298  99.99          
 145  14.664   0.790   0.386  0.005  0.006  0.011  99.99          
 146  15.714   0.740   0.174  0.008  0.010  0.015  99.99          
 147  16.466   0.738   0.159  0.007  0.013  0.028  99.99          
 148  15.545   0.702   0.173  0.008  0.009  0.018  99.99          
 149  15.633   1.147   0.934  0.004  0.008  0.040  99.99          
 150  16.200   1.195   1.133  0.009  0.013  0.058  99.99          
 151  12.410   0.605   0.110  0.009  0.011  0.006  99.99          
 153  15.162   0.766   0.260  0.004  0.008  0.014  99.99          
 154  16.856   0.816   0.338  0.012  0.015  0.046  99.99          
 155  12.890   1.211   1.189  0.007  0.007  0.012  99.99          
 156  14.235   0.662   0.147  0.001  0.010  0.013  99.99          
 157  15.716   0.618   0.150  0.002  0.002  0.008  99.99          
 158  16.257   0.800   0.291  0.003  0.008  0.027  99.99          
 159  15.336   0.672   0.016  0.000  0.002  0.010  99.99          
 161  16.281   1.297   1.105  0.009  0.010  0.071  99.99          
 162  16.698   0.786   0.176  0.004  0.004  0.027  99.99          
 163  16.470   0.728   0.185  0.015  0.017  0.030  99.99          
 164  15.116   0.572   0.065  0.006  0.006  0.008  99.99          
 165  16.157   1.025   0.739  0.003  0.025  0.047  99.99          
 167  14.824   0.660   0.068  0.001  0.006  0.010  99.99          
 168  16.407   0.839   0.259  0.035  0.036  0.032  99.99          
 169  16.825   0.806   0.272  0.013  0.016  0.037  99.99          
 170  15.430   1.255   1.016  0.006  0.009  0.005  99.99          
 171  16.997   1.049   0.886  0.003  0.011  0.078  99.99          
 172  14.443   0.971   0.559  0.006  0.009  0.015  99.99          
 173  16.596   0.861   0.353  0.006  0.010  0.035  99.99          
 175  16.747   0.923   0.552  0.016  0.020  0.049  99.99          
 176  15.325   1.134   1.029  0.008  0.014  0.028  99.99          
 177  15.972   0.913   0.493  0.004  0.011  0.030  99.99          
 178  14.638   1.233   1.187  0.003  0.005  0.021  99.99          
 179  14.311   0.924   0.562  0.007  0.007  0.009  99.99          
 180  12.235   0.564   0.068  0.003  0.005  0.004  99.99          
 181  16.159   0.859   0.380  0.005  0.007  0.030  99.99          
 182  16.590   0.717   0.121  0.014  0.026  0.035  99.99          
 183  16.701   0.926   0.504  0.005  0.011  0.045  99.99          
 184  15.299   0.802   0.452  0.009  0.010  0.016  99.99          
 185  16.750   0.693   0.082  0.022  0.024  0.037  99.99          
 186  16.117   0.658   0.051  0.002  0.002  0.016  99.99          
 187  14.435   0.805   0.260  0.003  0.004  0.009  99.99          
 188  15.991   0.916   0.571  0.001  0.001  0.028  99.99          
 189  15.295   0.637   0.071  0.004  0.008  0.013  99.99          
 190  16.516   0.800   0.287  0.002  0.008  0.030  99.99          
 191  16.346   0.704   0.195  0.002  0.006  0.022  99.99          
 192  16.693   0.804   0.206  0.004  0.009  0.033  99.99          
 193  14.638   1.155   0.920  0.003  0.003  0.020  99.99          
 194  15.607   0.993   0.550  0.006  0.008  0.025  99.99          
 195  15.936   0.888   0.383  0.004  0.004  0.020  99.99          
 196  12.361   1.066   0.840  0.001  0.002  0.002  99.99          
 197  16.327   0.996   0.543  0.001  0.007  0.034  99.99          
 198  11.557   0.530   0.092  0.020  0.021  0.005  99.99          
 199  15.023   1.032   0.700  0.001  0.003  0.019  99.99          
 200  15.193   1.107   0.848  0.000  0.003  0.021  99.99          
 201  16.766   0.741   0.193  0.000  0.010  0.030  99.99          
 202  15.128   0.761   0.195  0.009  0.010  0.012  99.99          
 203  15.535   0.869   0.428  0.014  0.015  0.019  99.99          
 204  15.489   0.781   0.212  0.000  0.013  0.018  99.99          
 205  15.957   0.918   0.402  0.001  0.005  0.032  99.99          
 206  15.265   0.749   0.219  0.004  0.006  0.014  99.99          
 207  15.305   0.846   0.295  0.009  0.009  0.015  99.99          
 208  14.952   0.632   0.077  0.004  0.004  0.009  99.99          
 209  16.406   1.283   0.899  0.002  0.008  0.057  99.99          
 210  16.868   0.796   0.214  0.004  0.011  0.029  99.99          
 211  16.515   1.055   0.675  0.008  0.012  0.051  99.99          
 212  15.618   0.984   0.669  0.001  0.005  0.007  99.99          
 213  14.461   0.860   0.425  0.001  0.002  0.009  99.99          
 214  16.417   0.860   0.484  0.012  0.013  0.037  99.99          
 215  16.368   0.761   0.264  0.014  0.031  0.042  99.99          
 217  15.655   0.910   0.475  0.003  0.007  0.023  99.99          
 218  16.497   1.328   1.054  0.010  0.015  0.071  99.99          
 219  15.989   0.684   0.190  0.018  0.018  0.023  99.99          
 220  14.380   0.132   0.067  0.007  0.012  0.012  99.99          
 221  15.866   0.988   0.489  0.009  0.011  0.028  99.99          
 222  16.778   0.665   0.094  0.004  0.010  0.031  99.99          
 223  16.513   0.750   0.158  0.007  0.008  0.025  99.99          
 224  16.839   0.730   0.193  0.012  0.014  0.030  99.99          
 225  16.561   0.815   0.382  0.005  0.008  0.032  99.99          
 226  15.938   0.845   0.458  0.005  0.011  0.029  99.99          
 227  14.361   0.948   0.590  0.006  0.007  0.009  99.99          
 228  15.937   0.800   0.274  0.012  0.013  0.022  99.99          
 229  15.684   1.205   1.122  0.003  0.003  0.042  99.99          
 230  16.925   0.791   0.173  0.007  0.011  0.038  99.99          
 231  14.011   0.866   0.420  0.002  0.004  0.009  99.99          
 232  15.224   1.118   0.978  0.005  0.016  0.029  99.99          
 233  16.638   0.890   0.568  0.007  0.008  0.046  99.99          
 234  15.671   0.716   0.191  0.000  0.010  0.019  99.99          
 235  16.959   1.480  99.999  0.001  0.014 99.999  99.99          
 236  16.845   0.850   0.449  0.012  0.013  0.054  99.99          
 237  15.774   1.002   0.722  0.004  0.006  0.023  99.99          
 238  16.561   0.828   0.322  0.004  0.004  0.033  99.99          
 239  12.694   0.638   0.103  0.008  0.009  0.004  99.99          
 240  11.391   0.191  -0.001  0.046  0.047  0.012   0.99          
 241  13.130   0.715   0.179  0.003  0.005  0.004  99.99          
 242  16.497   1.397  99.999  0.008  0.016 99.999  99.99          
 243  16.296   0.514   0.118  0.004  0.011  0.024  99.99          
 244  15.672   0.648   0.125  0.017  0.017  0.014  99.99          
 245  16.859   0.907   0.627  0.009  0.013  0.056  99.99          
 246  11.918   0.527   0.071  0.003  0.006  0.005  99.99          
 247  16.614   0.971   0.760  0.006  0.009  0.059  99.99          
 248  15.323   0.728   0.111  0.005  0.014  0.019  99.99          
 249  15.797   0.713   0.185  0.009  0.014  0.021  99.99          
 250  16.528   0.774   0.210  0.012  0.014  0.031  99.99          
 251  16.668   0.736   0.149  0.002  0.009  0.034  99.99          
 252  16.616   0.763   0.191  0.009  0.013  0.030  99.99          
 253  11.013   0.506   0.035  0.015  0.016  0.006  99.99          
 254  15.001   1.061   0.718  0.002  0.011  0.020  99.99          
 255  16.515   0.727   0.121  0.008  0.012  0.026  99.99          
 256  16.384   1.147   0.938  0.005  0.009  0.070  99.99          
 257  16.473   0.874   0.487  0.001  0.007  0.040  99.99          
 258  16.372   0.910   0.405  0.001  0.009  0.036  99.99          
 259  14.151   0.620   0.110  0.003  0.006  0.011  99.99          
 260  13.395   0.996   0.678  0.007  0.009  0.007  99.99          
 261  16.969   1.044   0.927  0.011  0.020  0.096  99.99          
 262  14.630   1.027   0.708  0.001  0.003  0.014  99.99          
 263  15.280   0.614   0.088  0.004  0.004  0.012  99.99          
 264  16.727   0.701   0.054  0.007  0.011  0.026  99.99          
 265  15.406   0.786   0.265  0.001  0.002  0.016  99.99          
 266  15.345   0.762   0.244  0.000  0.003  0.015  99.99          
 267  16.760   0.864   0.360  0.001  0.011  0.049  99.99          
 268  14.897   0.809   0.321  0.002  0.002  0.013  99.99          
 269  14.965   1.448   1.582  0.005  0.008  0.045  99.99          
 270  11.821   0.969   0.592  0.003  0.011  0.011  99.99          
 271  16.562   0.732   0.167  0.002  0.002  0.029  99.99          
 272  16.363   0.889   0.468  0.014  0.021  0.037  99.99          
 273  16.726   1.530  99.999  0.005  0.015 99.999  99.99          
 274  16.671   0.917   0.492  0.000  0.007  0.032  99.99          
 275  16.687   0.655   0.074  0.007  0.021  0.029  99.99          
 276  12.443   0.601   0.064  0.000  0.003  0.003  99.99          
 277  15.632   0.658   0.073  0.004  0.007  0.015  99.99          
 278  13.320   0.735   0.175  0.002  0.003  0.004  99.99          
 279  16.554   1.148   0.912  0.020  0.022  0.067  99.99          
 280  15.876   0.725   0.195  0.001  0.001  0.002  99.99          
 281  16.080   0.988   0.697  0.000  0.008  0.042  99.99          
 282  16.234   0.742   0.150  0.004  0.004  0.029  99.99          
 283  13.767   0.859   0.389  0.003  0.004  0.009  99.99          
 284  15.457   1.137   0.837  0.010  0.013  0.030  99.99          
 285  15.068   1.069   0.767  0.005  0.005  0.019  99.99          
 286  14.183   0.770   0.272  0.014  0.015  0.009  99.99          
 287  16.532   1.180   1.235  0.006  0.013  0.083  99.99          
 288  12.953   0.683   0.119  0.001  0.001  0.003  99.99          
 289  14.641   1.005   0.665  0.008  0.011  0.014  99.99          
 291  14.742   0.598   0.075  0.005  0.005  0.008  99.99          
 292  14.792   0.954   0.542  0.006  0.007  0.014  99.99          
 293  16.765   0.813   0.271  0.004  0.011  0.034  99.99          
 294  16.928   0.727   0.227  0.003  0.011  0.043  99.99          
 295  14.585   0.707   0.181  0.001  0.003  0.009  99.99          
 296  15.018   0.611   0.039  0.012  0.012  0.009  99.99          
 297  16.806   0.743   0.210  0.007  0.011  0.035  99.99          
 298  16.588   0.982   0.743  0.009  0.011  0.049  99.99          
 299  13.507   0.978   0.550  0.000  0.001  0.008  99.99          
 300  16.614   0.945   0.279  0.001  0.003  0.037  99.99          
 301  15.192   0.710   0.122  0.009  0.009  0.012  99.99          
 302  16.339   0.682   0.127  0.003  0.006  0.028  99.99          
 303  16.082  99.999  99.999  0.536 99.999 99.999  99.99          
 304  15.318   0.189  -0.059  0.434  0.434  0.025  99.99          
 305  13.167   0.960   0.542  0.001  0.001  0.009  99.99          
 306  12.418   0.433   0.109  0.011  0.012  0.003  99.99          
 307  12.265   0.668   0.168  0.005  0.006  0.005  99.99          
 308  15.795   1.314   1.393  0.003  0.004  0.048  99.99          
 309  14.722   1.008   0.716  0.010  0.011  0.013  99.99          
 310  15.069   1.061   0.757  0.007  0.008  0.025  99.99          
 311  16.042   0.835   0.317  0.005  0.006  0.024  99.99          
 312  12.812   1.030   0.742  0.002  0.004  0.008  99.99          
 313  14.516   0.613   0.082  0.003  0.004  0.019  99.99          
 314  16.700   1.424   1.248  0.007  0.016  0.128  99.99          
 315  16.526   0.832   0.371  0.002  0.003  0.005  99.99          
